"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
1080.944,95.455,90.909,100.0,61.364,84.091,100.0,100.0,100.0,100.0,79.545,72.727,100.0,50.0,95.455,93.182,100.0,100.0,68.182
1081.184,100.0,100.0,100.0,100.0,100.0,100.0,72.727,100.0,100.0,90.909,84.848,100.0,96.97,100.0,84.848,100.0,84.848,18.182
1081.424,100.0,100.0,90.476,85.714,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.857,76.19,100.0,14.286
1081.665,100.0,100.0,100.0,100.0,20.0,100.0,100.0,72.0,100.0,100.0,100.0,100.0,44.0,100.0,72.0,84.0,100.0,100.0
1081.905,100.0,100.0,53.333,100.0,13.333,100.0,26.667,100.0,100.0,73.333,100.0,100.0,60.0,60.0,93.333,0.0,100.0,100.0
1082.145,100.0,100.0,37.5,100.0,50.0,100.0,0.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,0.0,0.0,25.0,100.0
1082.386,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0
1082.626,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.889,100.0,100.0,100.0,100.0,100.0,100.0,72.222,100.0,100.0,100.0
1082.866,83.333,97.917,85.417,93.75,85.417,77.083,60.417,43.75,100.0,100.0,95.833,62.5,68.75,58.333,35.417,54.167,81.25,64.583
1083.107,100.0,100.0,89.286,82.143,100.0,100.0,71.429,28.571,100.0,100.0,100.0,100.0,89.286,39.286,85.714,14.286,64.286,100.0
1083.347,84.615,100.0,73.077,96.154,100.0,38.462,73.077,38.462,100.0,100.0,88.462,96.154,100.0,69.231,80.769,26.923,0.0,80.769
1083.587,100.0,100.0,100.0,100.0,100.0,8.696,43.478,52.174,100.0,100.0,52.174,100.0,100.0,86.957,95.652,43.478,69.565,60.87
1083.827,74.359,100.0,100.0,100.0,84.615,33.333,74.359,100.0,100.0,100.0,58.974,100.0,100.0,69.231,10.256,15.385,43.59,61.538
1084.068,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.889,44.444,44.444,100.0,100.0
1084.308,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1084.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1084.788,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.75,100.0,100.0
1085.029,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,85.0,85.0,100.0,100.0,100.0,100.0,55.0,95.0,100.0,100.0
1085.269,100.0,100.0,84.848,87.879,72.727,90.909,87.879,100.0,63.636,100.0,100.0,100.0,100.0,100.0,27.273,69.697,60.606,69.697
1085.509,82.353,100.0,17.647,58.824,32.353,100.0,52.941,85.294,47.059,79.412,76.471,100.0,94.118,52.941,0.0,94.118,14.706,50.0
1085.749,69.697,100.0,54.545,60.606,57.576,100.0,75.758,69.697,100.0,51.515,90.909,66.667,90.909,57.576,0.0,78.788,21.212,45.455
1085.989,0.0,60.0,26.667,0.0,100.0,6.667,60.0,86.667,100.0,46.667,0.0,13.333,100.0,46.667,6.667,20.0,0.0,0.0
1086.230,100.0,100.0,100.0,83.333,100.0,0.0,100.0,100.0,100.0,100.0,83.333,88.889,16.667,100.0,100.0,72.222,0.0,55.556
1086.470,100.0,100.0,77.273,100.0,54.545,18.182,100.0,50.0,0.0,90.909,100.0,31.818,0.0,63.636,59.091,63.636,0.0,31.818
1086.710,100.0,72.973,81.081,94.595,51.351,54.054,64.865,81.081,27.027,35.135,40.541,89.189,45.946,54.054,81.081,91.892,48.649,40.541
1086.950,100.0,100.0,100.0,84.615,100.0,53.846,92.308,100.0,84.615,65.385,76.923,100.0,73.077,84.615,50.0,100.0,69.231,15.385
