Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
83,5087350,ВЭ,100,0,100,4.4167,3,+,in_another_order,-,-
84,3684228,ВЭ,100,0,100,4.4118,1,+,,-,-
85,4825085,ВЭ,100,0,100,4.3810,2,-,,-,-
86,4764295,ВЭ,100,0,100,4.3429,1,+,,-,-
87,4264017,ВЭ,100,0,100,4.3382,2,+,,-,-
88,4332463,ВЭ,100,0,100,4.3111,2,+,,-,-
89,5134752,ВЭ,100,0,100,4.2571,4,+,,-,-
90,4490169,ВЭ,100,0,100,4.2424,3,+,in_another_order,-,-
91,5188456,ВЭ,100,0,100,4.1739,1,+,,-,-
92,5057310,ВЭ,100,0,100,4.1591,1,+,,-,-
93,4280975,ВЭ,100,0,100,4.1270,1,-,,-,-
94,3816078,ВЭ,100,0,100,4.1190,1,-,,-,-
95,4800000,ВЭ,100,0,100,4.0571,4,+,,-,-
96,4954736,ВЭ,100,0,100,4.0441,2,-,,-,-
97,4798503,ВЭ,100,0,100,4.0357,1,-,,-,-
98,4978871,ВЭ,100,0,100,3.9583,4,-,,-,-
99,5002771,ВЭ,100,0,100,3.8611,2,-,,-,-
100,4884977,ВЭ,100,0,100,3.8400,3,-,,-,-
101,4804375,ВЭ,100,0,100,3.8095,2,-,,-,-
102,4691704,ВЭ,100,0,100,3.7632,4,+,,-,-
103,4497628,ВЭ,100,0,100,3.7000,1,-,,-,-
104,4527400,ВЭ,100,0,100,3.6538,2,-,,-,-
10,4655328,Призер ЯП,100,0,100,5.0000,3,-,pass_another,-,-
11,4544587,Призер ЯП,100,0,100,4.0606,3,-,pass_another,-,-
65,5193602,РОП,100,0,100,3.9787,1,+,in_order,-,+
12,4517024,Призер ЯП,100,0,100,3.7000,3,+,in_another_order,-,-
105,4768729,ВЭ,98,0,98,4.6111,3,+,,-,-
106,4542231,ВЭ,98,0,98,4.5735,1,+,,-,-
107,4319838,ВЭ,98,0,98,4.4474,3,+,in_another_order,-,-
108,4773614,ВЭ,95,1,96,3.9474,1,+,,-,-
109,4445526,ВЭ,95,0,95,5.0000,2,-,,-,-
110,4544232,ВЭ,95,0,95,4.9483,1,-,,-,-
111,4487311,ВЭ,95,0,95,4.9074,1,-,,-,-
